Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	TEMP_BME	TEMP	HUM_BME	HUM	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Mar 08 2021 14:00:00	28528813.559322033	33120904.27118644	749637.2542372881	651094.3050847457	20535705.966101695	7797498.627118644	55079936.74576271	499000000	102.96440677966106	100.24406779661015	89.93559322033903	89.15423728813559	38.93559322033898	100.70677966101688	102.82711864406772	500	43.80000000000001	41.90169491525423	7.300000000000008	6.754237288135595	17	19	78	1	0.5
Mar 08 2021 15:00:00	29973333.333333332	35377778.266666666	732836.2166666667	652834.8333333334	22930292.483333334	7798007.116666666	58820666.13333333	499000000	102.9883333333333	100.21833333333343	89.91666666666667	89.16166666666669	38.904999999999994	100.69500000000001	102.81333333333333	500	43.80000000000002	41.59	7.300000000000008	7.166666666666668	23	23	77	1	0.5
Mar 08 2021 16:00:00	26880000	30933333.333333332	761963.3666666667	669390.6	18754661	6842173.983333333	46641758.1	499000000	103.02333333333334	100.32333333333334	90.02666666666669	89.2483333333333	38.99	100.76833333333327	102.90499999999999	500	43.80000000000002	43.53666666666664	7.300000000000008	6.625000000000001	29	28	72	1	0.6
Mar 08 2021 17:00:00	22765714.633333333	23903492.266666666	838890.5166666667	692148.3166666667	14003399.333333334	6921491.966666667	27404493.966666665	499000000	103.0566666666667	100.34666666666664	90.06166666666668	89.28499999999998	39.03166666666666	100.81499999999996	102.93666666666667	500	43.80000000000002	44.39666666666667	7.300000000000008	6.533333333333333	33	41	59	1	0.6
Mar 08 2021 18:00:00	18958730.166666668	18646349.2	904586.05	708845.2666666667	11670102.416666666	7375065.716666667	17031675.016666666	499000000	103.04333333333334	100.35333333333332	90.09999999999997	89.2933333333333	39.03499999999998	100.80999999999995	102.93833333333332	500	43.80000000000002	44.65666666666666	7.300000000000008	6.521666666666667	36	54	49	1	0.7
Mar 08 2021 19:00:00	18852910.066666666	18256084.7	927074.0166666667	714083.3	11440732	7295321.8	16393451.466666667	499000000	103.08000000000001	100.35833333333333	90.14166666666667	89.31166666666667	39.048333333333304	100.83499999999997	102.95333333333332	500	43.80000000000002	45.03	7.300000000000008	6.441666666666668	38	47	53	1	0.7
Mar 08 2021 20:00:00	14516274.883333333	13369610.65	967324.1666666666	726033.5166666667	9236351.3	7353545.6	11445603.65	499000000	103.08999999999996	100.34833333333336	90.14499999999998	89.35333333333332	39.06999999999997	100.85833333333332	102.96999999999998	500	43.80000000000002	45.463333333333345	7.300000000000008	6.3233333333333315	42	60	37	1	0.7
Mar 08 2021 21:00:00	12099260.816666666	9338528.85	1021944.4833333333	743615.1166666667	8008653.783333333	7669744.033333333	8578433.016666668	499000000	103.10666666666667	100.38000000000002	90.15166666666664	89.35666666666667	39.06999999999997	100.85666666666665	102.96333333333331	500	43.80000000000002	45.47666666666666	7.300000000000008	6.38	44	53	39	1	0.7
Mar 08 2021 22:00:00	10639972.677966101	7968201.084745763	1026591.033898305	746700.1355932204	7500203.220338983	7637046.406779661	7990435.06779661	499000000	103.06271186440681	100.37288135593222	90.14915254237287	89.34915254237289	39.066101694915226	100.85932203389827	102.94915254237287	500	43.80000000000001	45.44745762711864	7.300000000000008	6.483050847457628	43	52	31	1	0.6
Mar 08 2021 23:00:00	10973062.65	7929678.216666667	1024189.8666666667	741840.2333333333	7414167.333333333	7473396.166666667	8330690.75	499000000	103.13666666666663	100.39	90.16	89.35833333333335	39.07666666666663	100.86999999999999	102.9616666666666	500	43.80000000000002	45.635	7.300000000000008	6.303333333333332	43	40	35	1	0.7
Mar 09 2021 00:00:00	13037037.033333333	10647983.25	1005925.0833333334	744053.8	7526408.816666666	7477930.7	9752104.066666666	499000000	103.07666666666665	100.3666666666667	90.12166666666666	89.32499999999997	39.048333333333325	100.81999999999996	102.9483333333333	500	43.80000000000002	44.85333333333333	7.300000000000008	6.476666666666666	45	30	39	1	0.6
Mar 09 2021 01:00:00	14168888.733333332	11904149.35	979986.0166666667	744175.6666666666	7954925.4	8288295.633333334	11011279.766666668	499000000	102.93666666666665	100.25666666666675	89.99833333333335	89.22333333333333	38.95333333333335	100.7183333333333	102.85833333333328	500	43.80000000000002	42.77166666666667	7.300000000000008	7.116666666666666	44	26	38	1	0.6
Mar 09 2021 02:00:00	15159364.966666667	13140471.416666666	952418.9666666667	716009.1833333333	8463556.066666666	8138565.616666666	12289342.816666666	499000000	102.96666666666671	100.27166666666669	90.00666666666667	89.22499999999997	38.956666666666685	100.74333333333331	102.86666666666662	500	43.80000000000002	42.750000000000014	7.300000000000008	6.886666666666668	41	23	40	1	0.6
Mar 09 2021 03:00:00	13116229.016666668	11023246.483333332	958616.9666666667	718384.3166666667	7879473.633333334	7996800.383333334	10579621.366666667	499000000	103.02500000000002	100.30000000000008	90.03833333333333	89.25333333333333	38.96833333333334	100.76166666666664	102.88666666666661	500	43.80000000000002	43.288333333333334	7.300000000000008	6.768333333333335	45	31	32	1	0.6
Mar 09 2021 04:00:00	11171100.483333332	8984570.083333334	969034.0666666667	714851.7166666667	7816569.833333333	8384232.333333333	9438247.683333334	499000000	103.02166666666668	100.305	90.03333333333332	89.25166666666661	38.97333333333335	100.77666666666661	102.88000000000002	500	43.80000000000002	43.22333333333334	7.300000000000008	6.520000000000001	37	34	25	1	0.6
Mar 09 2021 05:00:00	3032315.1666666665	1590448.3333333333	1017312.0833333334	722282.1	7124189.633333334	9897139.966666667	6589393.733333333	499000000	103.045	100.2916666666667	90.025	89.24833333333332	38.981666666666676	100.76666666666661	102.88166666666663	500	43.80000000000002	43.32166666666668	7.300000000000008	6.5983333333333345	43	56	6	1	0.7
Mar 09 2021 06:00:00	1256352.6101694915	408105.22033898305	1038872.3389830509	738410.5423728813	6728862.661016949	10664950.440677967	6214821.796610169	499000000	103.05593220338982	100.30677966101698	90.08135593220341	89.28474576271185	38.99152542372882	100.8016949152542	102.91864406779658	500	43.80000000000001	43.59661016949153	7.300000000000008	6.452542372881357	41	60	3	2	0.8
Mar 09 2021 07:00:00	1046229.2666666667	279970.7166666667	1048243.7166666667	742253.3833333333	6382587.5	10788304.65	6182888.933333334	499000000	103.04000000000002	100.30166666666672	90.07833333333333	89.28999999999994	39.00500000000001	100.80333333333326	102.905	500	43.80000000000002	43.90833333333334	7.300000000000008	6.294999999999999	42	64	5	3	1.2
Mar 09 2021 08:00:00	962260.4	228854.21666666667	1066649.1	760348.6333333333	6052413.133333334	11176714.55	6149974.266666667	499000000	103.035	100.27333333333338	90.06666666666666	89.29333333333332	38.991666666666674	100.79333333333332	102.89999999999999	500	43.80000000000002	43.66499999999999	7.300000000000008	6.535000000000001	44	70	6	5	1.0
Mar 09 2021 09:00:00	2932737.305084746	513124.23728813557	1034735.6101694915	739682.6271186441	6705583.169491526	10886135.728813559	6930433.711864407	499000000	103.04406779661024	100.28135593220344	90.04406779661018	89.25254237288131	38.971186440677975	100.76271186440675	102.86779661016944	500	43.80000000000001	43.20000000000001	7.300000000000008	6.572881355932203	36	54	19	3	0.6
Mar 09 2021 10:00:00	11407707.916666666	7104441.333333333	1014635.5166666667	746242.2666666667	7314423.783333333	9337318.85	11808062.066666666	499000000	102.98000000000002	100.24333333333335	90.00166666666664	89.2083333333333	38.935000000000024	100.72333333333331	102.82999999999998	500	43.80000000000002	42.475000000000016	7.300000000000008	7.300000000000002	35	NaN	NaN	2	0.6
Mar 09 2021 11:00:00	19720635.1	19544011.6	1009133.3666666667	771968.5833333334	9058463.866666667	8778735.3	28698770.25	499000000	102.84166666666671	100.11833333333333	89.83333333333334	89.07999999999997	38.77666666666669	100.58833333333334	102.71166666666657	500	43.80000000000002	38.85666666666667	7.300000000000008	8.968333333333335	25	NaN	NaN	NaN	0.6
Mar 09 2021 12:00:00	26168888.966666665	27911111.133333333	989967.7333333333	778024.8	11221919.683333334	8244231.866666666	50216567.6	499000000	102.85500000000006	100.11000000000007	89.77333333333335	89.02666666666667	38.76833333333334	100.53833333333337	102.65499999999996	500	43.80000000000002	38.28833333333333	7.300000000000008	9.116666666666667	22	NaN	66	NaN	0.6
