,Time,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,TEMP_BME,TEMP,HUM_BME,HUM,PM10,Biossido di Azoto,Biossido Zolfo,Ozono,Ossido di Carbonio
1228,2021-11-13 13:00:00,92.27833333333326,14222222.0,90.75166666666662,14222222.0,102.24333333333333,3698217.75,101.74333333333328,3722896.133333333,107.81166666666664,9647818.083333334,107.115,23905410.166666668,500.0,499000000.0,104.6233333333333,113625385.46666668,2.0,41.068333333333335,21.5,12.573333333333334,23,28,3,4,1.2
1229,2021-11-13 14:00:00,92.3433333333333,14198518.3,90.73666666666664,14222222.0,102.28666666666668,3571068.4166666665,101.73999999999997,3593683.466666667,107.7983333333333,7337776.9,107.12166666666668,19354551.5,500.0,499000000.0,104.60166666666667,112243224.8,2.0,40.94333333333334,21.5,12.718333333333334,22,29,4,4,1.2
1230,2021-11-13 15:00:00,92.27796610169491,14372881.152542371,90.72033898305082,14252353.830508474,102.25593220338988,3511483.3898305083,101.71864406779656,3536682.898305085,107.79661016949152,5742000.830508474,107.07796610169488,15566718.54237288,500.0,499000000.0,104.58813559322036,106523674.03389832,2.0,40.645762711864414,21.5,13.084745762711863,24,32,4,3,1.3
1231,2021-11-13 16:00:00,92.31000000000004,14903703.566666666,90.73833333333332,14755555.4,102.2683333333334,3430877.783333333,101.73833333333324,3458120.0166666666,107.78166666666664,5313417.45,107.11166666666666,14295079.483333332,500.0,499000000.0,104.59999999999998,104006301.46666668,2.0,41.01833333333334,21.5,13.171666666666669,27,36,5,3,1.4
1232,2021-11-13 17:00:00,92.33,15703703.666666666,90.75333333333332,15792592.566666666,102.265,3273751.4833333334,101.74833333333328,3338470.8,107.82333333333334,5144899.683333334,107.11666666666665,13960076.4,500.0,499000000.0,104.61333333333336,106600543.33333331,2.0,41.41499999999999,21.5,13.646666666666668,28,37,5,3,1.5
1233,2021-11-13 18:00:00,92.31833333333334,15792592.566666666,90.7516666666667,15940740.733333332,102.3016666666667,3333186.333333333,101.75499999999997,3402536.8,107.83833333333332,5189474.45,107.11833333333333,14187173.833333334,500.0,499000000.0,104.61166666666666,111670696.8,2.0,41.62666666666667,21.5,13.514999999999995,30,35,4,2,1.3
1234,2021-11-13 19:00:00,92.33166666666664,15348148.066666666,90.74499999999998,15466666.6,102.26500000000004,3334201.6,101.7616666666666,3402476.4166666665,107.84166666666664,5275412.283333333,107.12666666666664,14452936.966666669,500.0,499000000.0,104.615,114053988.53333332,2.0,41.40833333333333,21.5,13.990000000000004,27,32,3,2,1.2
1235,2021-11-13 20:00:00,92.26999999999995,15644444.4,90.74833333333336,15644444.4,102.27833333333338,3312360.7,101.75166666666662,3402876.05,107.81666666666663,5342828.366666666,107.10499999999998,14681454.066666666,500.0,499000000.0,104.60166666666667,115813960.66666669,2.0,41.14666666666667,21.5,14.27,29,31,3,2,1.3
1236,2021-11-13 21:00:00,92.31166666666672,15525925.866666667,90.73333333333336,15762962.933333334,102.29333333333336,3298531.033333333,101.74999999999991,3399842.3666666667,107.80333333333331,5423850.766666667,107.1233333333333,15006696.283333331,500.0,499000000.0,104.59833333333331,118567642.8,2.0,41.246666666666655,21.5,14.328333333333337,29,29,3,2,1.3
1237,2021-11-13 22:00:00,92.33666666666667,15733333.3,90.775,15940740.733333332,102.31000000000004,3208260.433333333,101.78499999999995,3312647.533333333,107.82333333333337,5396854.683333334,107.125,14981232.166666666,500.0,499000000.0,104.58499999999998,116324954.53333332,2.0,41.70833333333334,21.5,14.10833333333333,27,28,2,2,1.3
