,Unnamed: 0.1,Time,ZnOR_1,ZnOR_2,LaFeO3_1,LaFeO3_2,WO3_1,WO3_2,ZnOR_1_heatR,ZnOR_2_heatR,LaFeO3_1_heatR,LaFeO3_2_heatR,WO3_1_heatR,WO3_2_heatR,ZnOR_1_heatV,ZnOR_2_heatV,LaFeO3_1_heatV,LaFeO3_2_heatV,WO3_1_heatV,WO3_2_heatV,Temperature,Relative_Humidity,Pressure,VOC,ZnOR_1_Age,ZnOR_2_Age,LaFeO3_1_Age,LaFeO3_2_Age,WO3_1_Age,WO3_2_Age,sin_hour,cos_hour,sin_weekday,cos_weekday,sin_month,cos_month,sin_ordate,cos_ordate,year,UV,Rain,Wind_Speed,sin_wind,cos_wind,PM10,NO2,SO2,O3,CO
4973,4973,2021-08-08 11:00:00,222947234.1694916,144749952.0,3367929.1694915253,3157059.86440678,30053763.491525423,41258648.0,103.04915254237288,102.6813559322034,91.19491525423727,89.43050847457629,92.40169491525424,92.8542372881356,3.770508474576271,3.859491525423728,2.928135593220339,2.919830508474576,2.28,2.3252542372881355,44.08983050847458,20.66610169491525,986.5525423728814,3773.128983050848,17838000.0,17838000.0,17838000.0,17838000.0,8766000.0,8766000.0,-0.2617968238801191,0.0011586450238556,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,2478.0,0.0,1.2,0.0055159202139052,0.0165587452417307,6.0,5.0,2.0,71.0,0.6246666666666664
4974,4974,2021-08-08 12:00:00,244597959.7333333,155199479.73333332,2629533.05,2366136.8833333333,35849967.9,48255774.6,103.045,102.68833333333332,91.09166666666668,89.41333333333334,92.39,92.855,3.769833333333333,3.859333333333333,2.9245,2.9193333333333333,2.2795,2.3241666666666663,44.03666666666666,20.898333333333333,986.3816666666668,4296.3145,17841600.0,17841600.0,17841600.0,17841600.0,8769600.0,8769600.0,-0.140474461442117,0.2209204497880551,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,2451.7,0.0,2.4,-0.0056378264739203,-0.016517637011288,7.0,5.0,1.0,83.0,0.6379999999999997
4975,4975,2021-08-08 13:00:00,260282968.26666668,162245410.66666666,2150230.3,1848201.5166666664,39484781.46666667,52672709.6,103.03833333333334,102.685,91.095,89.42166666666667,92.37166666666668,92.86,3.769833333333333,3.859,2.9251666666666667,2.92,2.2796666666666665,2.3238333333333334,44.0,21.045,985.9333333333332,4744.628333333333,17845200.0,17845200.0,17845200.0,17845200.0,8773200.0,8773200.0,0.1099994730145972,0.2375690118439699,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,2510.5,0.0,6.3,0.0119440178565085,0.0127262664293229,8.0,4.0,1.0,90.0,0.6279999999999993
4976,4976,2021-08-08 14:00:00,275161416.8,168847898.13333333,1877833.05,1558352.1166666667,41917898.06666667,55577186.46666667,103.06333333333332,102.7,91.05333333333331,89.43166666666667,92.4,92.89833333333333,3.770166666666667,3.86,2.9243333333333337,2.919833333333333,2.2801666666666667,2.3255,43.905,20.385,985.6583333333332,5119.323166666667,17848800.0,17848800.0,17848800.0,17848800.0,8776800.0,8776800.0,0.2593403992702513,0.0357977200161695,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,3071.5,0.0,5.233333333333333,0.00410592585519,0.0169634546204006,9.0,4.0,1.0,92.0,0.6466666666666665
4977,4977,2021-08-08 15:00:00,279183210.6666667,170759611.73333332,1705006.5333333334,1381057.8666666667,43223442.46666667,56694648.266666666,103.04166666666669,102.695,91.04333333333332,89.405,92.375,92.85666666666664,3.7695,3.86,2.9241666666666664,2.9195,2.28,2.3231666666666664,44.005,19.44833333333333,985.69,5496.668000000001,17852400.0,17852400.0,17852400.0,17852400.0,8780400.0,8780400.0,0.1702449584463643,-0.1988858305048529,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,2465.3,0.0,4.566666666666666,0.0060496808497933,-0.0163712791620677,8.0,3.0,1.0,94.0,0.638
4978,4978,2021-08-08 16:00:00,278825842.6666667,169883003.73333332,1634519.433333333,1294240.066666667,43202992.86666667,56480068.46666667,103.085,102.69833333333332,91.06833333333334,89.415,92.38333333333334,92.85166666666667,3.770333333333333,3.8595,2.9243333333333337,2.919,2.2796666666666665,2.3235,43.93333333333333,18.56833333333333,985.845,5732.905,17856000.0,17856000.0,17856000.0,17856000.0,8784000.0,8784000.0,-0.0753729120482587,-0.2507146656687137,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,1917.6,0.0,4.533333333333333,0.0153168312785889,0.0083673233097536,6.0,3.0,1.0,92.0,0.6373333333333338
4979,4979,2021-08-08 17:00:00,278454270.4,168966798.66666666,1598074.7,1257451.1666666667,43326628.86666667,56663492.13333333,103.07833333333332,102.705,91.09833333333331,89.435,92.38666666666668,92.875,3.769333333333333,3.86,2.926,2.920166666666667,2.2796666666666665,2.3248333333333333,44.105,18.31833333333333,986.125,5819.052166666666,17859600.0,17859600.0,17859600.0,17859600.0,8787600.0,8787600.0,-0.2516932748057057,-0.0720375934466784,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,1294.4,0.0,3.466666666666667,-0.0168750641775585,0.0044552922227377,8.0,4.0,1.0,93.0,0.6346666666666668
4980,4980,2021-08-08 18:00:00,276813900.26666665,168231464.8,1578327.933333333,1227057.35,44017461.93333333,57582049.46666667,103.07333333333332,102.70166666666668,91.05166666666666,89.42833333333333,92.37666666666668,92.87,3.77,3.859833333333333,2.9251666666666667,2.92,2.28,2.3251666666666666,43.94166666666667,18.585,986.495,5915.279833333333,17863200.0,17863200.0,17863200.0,17863200.0,8791200.0,8791200.0,-0.1966080014497935,0.1728705099718497,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,503.6,0.0,3.216666666666667,-0.0128837224434739,0.0117740016895801,9.0,5.0,1.0,93.0,0.630666666666667
4981,4981,2021-08-08 19:00:00,257161826.7118644,157598251.66101694,1614510.3559322034,1258465.7627118644,38582505.69491526,51091893.55932204,103.0677966101695,102.6864406779661,91.0542372881356,89.41694915254237,92.37627118644068,92.86610169491526,3.769152542372881,3.8593220338983047,2.925084745762712,2.919322033898305,2.2794915254237287,2.324406779661017,44.0728813559322,18.87457627118644,987.013559322034,5522.210677966102,17866800.0,17866800.0,17866800.0,17866800.0,8794800.0,8794800.0,0.0392377617348056,0.2588422637554617,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,39.5,0.0,3.0500000000000003,0.0157279930766981,-0.0075662179169016,10.0,10.0,1.0,84.0,0.6420000000000008
4982,4982,2021-08-08 20:00:00,211708260.0,134848844.93333334,1783573.0333333334,1402303.5166666666,28506896.1,37916156.266666666,103.01666666666668,102.7,91.025,89.41666666666667,92.375,92.87833333333332,3.7696666666666654,3.86,2.9248333333333334,2.9193333333333333,2.2796666666666665,2.3246666666666664,43.95166666666667,19.74833333333333,987.4866666666666,4574.806166666666,17870400.0,17870400.0,17870400.0,17870400.0,8798400.0,8798400.0,0.2390085077346339,0.1068356339545606,-0.2508027646973936,0.8618468339245702,0.5180267665600825,-0.0761836395517011,-0.0063646378164777,0.0159437515429063,2021,0.0,0.0,1.0333333333333334,-0.0143286916425096,0.0099652403684297,13.0,21.0,1.0,62.0,0.6780000000000003
